
 epoch:56, train_loss:0.1882, acc:0.9834, acc_cls:0.8794, mean_iu:0.8585, fwavacc:0.9676
 epoch:57, train_loss:0.1819, acc:0.9844, acc_cls:0.8715, mean_iu:0.8519, fwavacc:0.9694
 epoch:58, train_loss:0.1851, acc:0.9837, acc_cls:0.8723, mean_iu:0.8491, fwavacc:0.9681
 epoch:59, train_loss:0.1684, acc:0.9854, acc_cls:0.8930, mean_iu:0.8722, fwavacc:0.9714
 epoch:60, train_loss:0.1606, acc:0.9858, acc_cls:0.9086, mean_iu:0.8865, fwavacc:0.9723
 epoch:61, train_loss:0.1681, acc:0.9852, acc_cls:0.9066, mean_iu:0.8838, fwavacc:0.9713
 epoch:62, train_loss:0.1594, acc:0.9862, acc_cls:0.8828, mean_iu:0.8662, fwavacc:0.9729
 epoch:63, train_loss:0.1578, acc:0.9855, acc_cls:0.8844, mean_iu:0.8635, fwavacc:0.9717
 epoch:64, train_loss:0.1629, acc:0.9856, acc_cls:0.9032, mean_iu:0.8808, fwavacc:0.9719
 epoch:65, train_loss:0.1409, acc:0.9879, acc_cls:0.9196, mean_iu:0.9026, fwavacc:0.9763
 epoch:66, train_loss:0.1428, acc:0.9881, acc_cls:0.8956, mean_iu:0.8803, fwavacc:0.9766
 epoch:67, train_loss:0.1320, acc:0.9890, acc_cls:0.9359, mean_iu:0.9013, fwavacc:0.9783
 epoch:68, train_loss:0.1390, acc:0.9881, acc_cls:0.8956, mean_iu:0.8815, fwavacc:0.9766
 epoch:69, train_loss:0.1282, acc:0.9892, acc_cls:0.9253, mean_iu:0.9052, fwavacc:0.9787
 epoch:70, train_loss:0.1367, acc:0.9887, acc_cls:0.9560, mean_iu:0.9250, fwavacc:0.9779
 epoch:71, train_loss:0.1474, acc:0.9872, acc_cls:0.9461, mean_iu:0.9214, fwavacc:0.9751
 epoch:72, train_loss:0.1159, acc:0.9901, acc_cls:0.9468, mean_iu:0.9346, fwavacc:0.9805
 epoch:73, train_loss:0.1441, acc:0.9872, acc_cls:0.9304, mean_iu:0.9166, fwavacc:0.9749
 epoch:74, train_loss:0.1301, acc:0.9882, acc_cls:0.9358, mean_iu:0.9182, fwavacc:0.9768
 epoch:75, train_loss:0.1260, acc:0.9890, acc_cls:0.9334, mean_iu:0.9165, fwavacc:0.9784
 epoch:76, train_loss:0.1262, acc:0.9890, acc_cls:0.9463, mean_iu:0.9271, fwavacc:0.9783
 epoch:77, train_loss:0.1240, acc:0.9888, acc_cls:0.9495, mean_iu:0.9299, fwavacc:0.9780
 epoch:78, train_loss:0.1246, acc:0.9893, acc_cls:0.9477, mean_iu:0.9275, fwavacc:0.9789
 epoch:79, train_loss:0.1258, acc:0.9888, acc_cls:0.9583, mean_iu:0.9344, fwavacc:0.9780
 epoch:80, train_loss:0.1152, acc:0.9903, acc_cls:0.9534, mean_iu:0.9353, fwavacc:0.9810
 epoch:81, train_loss:0.1018, acc:0.9912, acc_cls:0.9703, mean_iu:0.9552, fwavacc:0.9826
 epoch:82, train_loss:0.1056, acc:0.9909, acc_cls:0.9237, mean_iu:0.9130, fwavacc:0.9820
 epoch:83, train_loss:0.1018, acc:0.9913, acc_cls:0.9672, mean_iu:0.9484, fwavacc:0.9829
 epoch:84, train_loss:0.1027, acc:0.9910, acc_cls:0.9584, mean_iu:0.9401, fwavacc:0.9822
 epoch:85, train_loss:0.0958, acc:0.9917, acc_cls:0.9591, mean_iu:0.9481, fwavacc:0.9836
 epoch:86, train_loss:0.1015, acc:0.9912, acc_cls:0.9655, mean_iu:0.9366, fwavacc:0.9827
 epoch:87, train_loss:0.1141, acc:0.9900, acc_cls:0.9766, mean_iu:0.9390, fwavacc:0.9804
 epoch:88, train_loss:0.0964, acc:0.9916, acc_cls:0.9781, mean_iu:0.9555, fwavacc:0.9835
 epoch:89, train_loss:0.1062, acc:0.9906, acc_cls:0.9537, mean_iu:0.9369, fwavacc:0.9815
 epoch:90, train_loss:0.0954, acc:0.9912, acc_cls:0.9520, mean_iu:0.9354, fwavacc:0.9827
 epoch:91, train_loss:0.1078, acc:0.9903, acc_cls:0.9321, mean_iu:0.9163, fwavacc:0.9810
 epoch:92, train_loss:0.0934, acc:0.9920, acc_cls:0.9189, mean_iu:0.9088, fwavacc:0.9843
 epoch:93, train_loss:0.1039, acc:0.9905, acc_cls:0.9794, mean_iu:0.9531, fwavacc:0.9812
 epoch:94, train_loss:0.1061, acc:0.9903, acc_cls:0.9774, mean_iu:0.9475, fwavacc:0.9810
 epoch:95, train_loss:0.1059, acc:0.9906, acc_cls:0.9768, mean_iu:0.9475, fwavacc:0.9816
 epoch:96, train_loss:0.0978, acc:0.9917, acc_cls:0.9497, mean_iu:0.9391, fwavacc:0.9835
 epoch:97, train_loss:0.0978, acc:0.9918, acc_cls:0.9513, mean_iu:0.9346, fwavacc:0.9837
 epoch:98, train_loss:0.0898, acc:0.9923, acc_cls:0.9499, mean_iu:0.9388, fwavacc:0.9848
 epoch:99, train_loss:0.0930, acc:0.9918, acc_cls:0.9659, mean_iu:0.9533, fwavacc:0.9839
 epoch:100, train_loss:0.0895, acc:0.9923, acc_cls:0.9728, mean_iu:0.9586, fwavacc:0.9847
 epoch:101, train_loss:0.0843, acc:0.9926, acc_cls:0.9743, mean_iu:0.9622, fwavacc:0.9854
 epoch:102, train_loss:0.0866, acc:0.9924, acc_cls:0.9623, mean_iu:0.9418, fwavacc:0.9850
 epoch:103, train_loss:0.0829, acc:0.9928, acc_cls:0.9742, mean_iu:0.9595, fwavacc:0.9857
 epoch:104, train_loss:0.0925, acc:0.9922, acc_cls:0.9763, mean_iu:0.9585, fwavacc:0.9847
 epoch:105, train_loss:0.0871, acc:0.9923, acc_cls:0.9467, mean_iu:0.9332, fwavacc:0.9848
 epoch:106, train_loss:0.0713, acc:0.9939, acc_cls:0.9527, mean_iu:0.9436, fwavacc:0.9879
 epoch:107, train_loss:0.0889, acc:0.9926, acc_cls:0.9617, mean_iu:0.9491, fwavacc:0.9853
 epoch:108, train_loss:0.0824, acc:0.9929, acc_cls:0.9810, mean_iu:0.9519, fwavacc:0.9860
 epoch:109, train_loss:0.1407, acc:0.9879, acc_cls:0.9637, mean_iu:0.9437, fwavacc:0.9766
 epoch:110, train_loss:0.4997, acc:0.9678, acc_cls:0.9210, mean_iu:0.8821, fwavacc:0.9404
 epoch:111, train_loss:0.9368, acc:0.9266, acc_cls:0.8681, mean_iu:0.7729, fwavacc:0.8745
 epoch:112, train_loss:1.7265, acc:0.8678, acc_cls:0.7155, mean_iu:0.6144, fwavacc:0.7830
 epoch:113, train_loss:3.2640, acc:0.7834, acc_cls:0.6163, mean_iu:0.5071, fwavacc:0.6451
 epoch:114, train_loss:3.5430, acc:0.7626, acc_cls:0.5192, mean_iu:0.3984, fwavacc:0.6197
 epoch:115, train_loss:3.2027, acc:0.7502, acc_cls:0.5434, mean_iu:0.4348, fwavacc:0.6014
 epoch:116, train_loss:3.0717, acc:0.7636, acc_cls:0.5662, mean_iu:0.4574, fwavacc:0.6195
 epoch:117, train_loss:2.7453, acc:0.7704, acc_cls:0.5261, mean_iu:0.4332, fwavacc:0.6266
 epoch:118, train_loss:2.5247, acc:0.7985, acc_cls:0.6123, mean_iu:0.5194, fwavacc:0.6657
 epoch:119, train_loss:2.4972, acc:0.8173, acc_cls:0.6361, mean_iu:0.5191, fwavacc:0.6957
 epoch:120, train_loss:1.9045, acc:0.8476, acc_cls:0.6503, mean_iu:0.5698, fwavacc:0.7362
